"session_id","advertiser_id","country","price","event_type_id","gdpr","min_cpm","priority","bid_price"
4888329313313743597,23623483929636663,US,0.00250000,3,2,2.00000000,0.38700000,0.03102
3358590102057408244,23623483929636663,US,0.00250000,3,2,1.00000000,0.38700000,0.03102
4198637933316244146,23623483929636663,US,0.00250000,3,2,2.00000000,0.38700000,0.03102
3267659534825443260,23623483929636663,US,0.00250000,3,2,1.00000000,0.38700000,0.03102
7286986078664352793,23623483929636663,US,0.00250000,3,2,2.00000000,0.38700000,0.03102
3796005850840324869,23623483929636663,US,0.00250000,3,2,2.00000000,0.38700000,0.03102
6241921537135772730,23623483929636663,US,0.00250000,3,2,1.00000000,0.38700000,0.03102
4093476151209639189,23623483929636663,US,0.00250000,3,2,2.00000000,0.38700000,0.02737
1681061968337443086,23623483929636663,US,0.00250000,3,2,4.00000000,0.38700000,0.03102
7751144311144720972,23623483929636663,US,0.00250000,3,2,2.00000000,0.38700000,0.02737
2027802469636775972,23623483929636663,US,0.00250000,3,2,1.00000000,0.38700000,0.02737
8907824102463132950,23623483929636663,US,0.00250000,3,2,2.00000000,0.38700000,0.02737
2152859582491287008,23623483929636663,US,0.00250000,3,2,2.00000000,0.38700000,0.02737
253413670406476014,23623483929636663,US,0.00250000,3,2,1.00000000,0.38700000,0.02737
2025380479330876444,23623483929636663,US,0.00250000,3,2,1.00000000,0.38700000,0.02737
6853710042739916836,23623483929636663,US,0.00250000,3,2,1.00000000,0.38700000,0.03102
4946079848515792944,23623483929636663,US,0.00250000,3,2,2.00000000,0.38700000,0.03102
2465289119194895825,23623483929636663,US,0.00250000,3,2,1.00000000,0.38700000,0.02737
2795682731169134873,23623483929636663,US,0.00250000,3,2,2.00000000,0.38700000,0.03102
8787079398639279046,23623483929636663,US,0.00250000,3,2,2.00000000,0.38700000,0.03102
713449854968963290,93331899455648127,CA,0.00072000,3,2,1.00000000,0.22046875,0.01039
971736620170658693,93331899455648127,CA,0.00072000,3,2,1.00000000,0.22046875,0.01039
2394893925200247319,93331899455648127,GB,0.00062000,3,3,2.00000000,0.18032763,0.01066
145842607240088365,93331899455648127,GB,0.00062000,3,3,1.00000000,0.17710935,0.01033
4189622362560539971,1977222,US,0.06000000,3,2,1.00000000,3.43000007,0.80649
8329430749166167848,23623483929636663,US,0.00250000,3,2,2.00000000,0.38700000,0.03102
8811028843963456541,1977222,US,0.06000000,3,2,17.00000000,3.43000007,0.80649
5971894753211857706,23623483929636663,US,0.00250000,3,2,2.00000000,0.38700000,0.03102
9039725754116455402,23623483929636663,US,0.00250000,3,2,2.00000000,0.38700000,0.03102
3017787223595015284,23623483929636663,US,0.00250000,3,2,2.00000000,0.38700000,0.03102
5409957764221731684,23623483929636663,US,0.00250000,3,2,1.00000000,0.38700000,0.02737
6040518236588789720,23623483929636663,US,0.00250000,3,2,1.00000000,0.38700000,0.03102
5053581389627391846,1977222,US,0.06000000,3,2,2.00000000,3.43000007,0.59143
877025559047325382,1977222,US,0.06000000,3,2,1.00000000,3.43000007,0.59143
677602936493692202,1977222,US,0.06000000,3,2,1.00000000,3.43000007,0.80649
1078602709650298221,1977222,US,0.06000000,3,2,1.00000000,3.43000007,0.75273
7603472245299512085,1977222,US,0.06000000,3,2,1.00000000,3.43000007,0.53766
5926222808185833732,1977222,US,0.06000000,3,2,1.00000000,3.43000007,0.80649
4693502034961901153,23623483929636663,US,0.00250000,3,2,1.00000000,0.38700000,0.03102
1352148120007918128,23623483929636663,US,0.00250000,3,2,1.00000000,0.38700000,0.03102
6437393152592599701,23623483929636663,US,0.00250000,3,2,1.00000000,0.38700000,0.03102
251744486807204177,23623483929636663,US,0.00250000,3,2,2.00000000,0.38700000,0.03102
6650961842078069621,23623483929636663,US,0.00250000,3,2,1.00000000,0.38700000,0.03102
2922660866656261017,23623483929636663,US,0.00250000,3,2,1.00000000,0.38700000,0.03102
6969841561738797092,23623483929636663,US,0.00250000,3,2,1.00000000,0.38700000,0.02509
1388565880816020118,23623483929636663,US,0.00250000,3,2,1.00000000,0.38700000,0.02372
7880775375478237487,23623483929636663,US,0.00250000,3,2,1.00000000,0.38700000,0.03102
468387006083135140,23623483929636663,US,0.00250000,3,2,2.00000000,0.38700000,0.03102
3606703552970589298,93331899455648127,GB,0.00062000,3,3,1.00000000,0.17710935,0.01033
